   0.00000E+00   0.00000E+00   0.30855E-03
   0.10000E-03   0.30855E-07   0.30855E-03
   0.20000E-03   0.92564E-07   0.61710E-03
   0.30000E-03   0.18513E-06   0.92564E-03
   0.40000E-03   0.30855E-06   0.12342E-02
   0.50000E-03   0.46282E-06   0.15427E-02
   0.60000E-03   0.64795E-06   0.18513E-02
   0.70000E-03   0.86393E-06   0.21598E-02
   0.80000E-03   0.11108E-05   0.24684E-02
   0.90000E-03   0.13885E-05   0.27769E-02
   0.10000E-02   0.16970E-05   0.30855E-02
   0.11000E-02   0.20364E-05   0.33940E-02
   0.12000E-02   0.24067E-05   0.37026E-02
   0.13000E-02   0.28078E-05   0.40111E-02
   0.14000E-02   0.32398E-05   0.43197E-02
   0.15000E-02   0.37026E-05   0.46282E-02
   0.16000E-02   0.41963E-05   0.49368E-02
   0.17000E-02   0.47208E-05   0.52453E-02
   0.18000E-02   0.52762E-05   0.55539E-02
   0.19000E-02   0.58624E-05   0.58624E-02
   0.20000E-02   0.64795E-05   0.61710E-02
   0.21000E-02   0.71275E-05   0.64795E-02
   0.22000E-02   0.78063E-05   0.67881E-02
   0.23000E-02   0.85159E-05   0.70966E-02
   0.24000E-02   0.92564E-05   0.74052E-02
   0.25000E-02   0.10028E-04   0.77137E-02
   0.26000E-02   0.10830E-04   0.80223E-02
   0.27000E-02   0.11663E-04   0.83308E-02
   0.28000E-02   0.12527E-04   0.86393E-02
   0.29000E-02   0.13422E-04   0.89479E-02
   0.30000E-02   0.14347E-04   0.92564E-02
   0.31000E-02   0.15304E-04   0.95650E-02
   0.32000E-02   0.16291E-04   0.98735E-02
   0.33000E-02   0.17310E-04   0.10182E-01
   0.34000E-02   0.18359E-04   0.10491E-01
   0.35000E-02   0.19439E-04   0.10799E-01
   0.36000E-02   0.20549E-04   0.11108E-01
   0.37000E-02   0.21691E-04   0.11416E-01
   0.38000E-02   0.22863E-04   0.11725E-01
   0.39000E-02   0.24067E-04   0.12033E-01
   0.40000E-02   0.25301E-04   0.12342E-01
   0.41000E-02   0.26566E-04   0.12650E-01
