x,Curve1
0.863695,1.28535
0.868068,1.26607
0.874355,1.24679
0.879823,1.24036
0.886657,1.22108
0.891575,1.18895
0.897591,1.18895
0.90333,1.16324
0.90825,1.14396
0.914538,1.13111
0.920551,1.11183
0.926291,1.08612
0.931485,1.07326
0.937224,1.04756
0.943236,1.01542
0.948428,0.98329
0.953892,0.938303
0.960718,0.854756
0.966723,0.751928
0.971907,0.6491
0.977361,0.514139
0.983362,0.385604
0.989365,0.263496
0.994005,0.192802
1.00001,0.128535
