x,Curve1
0.862466,15.5013
0.867945,13.9589
0.873699,13.0334
0.879452,11.6452
0.886301,10.2571
0.890959,8.86889
0.89726,7.17224
0.903014,5.62982
0.907397,4.24165
0.913699,2.69923
0.92,0.539846
0.925479,-1.31105
0.931233,-3.00771
0.936986,-5.32134
0.942466,-8.40617
0.947945,-11.491
0.953699,-14.1131
0.959726,-16.1183
0.965753,-18.1234
0.970685,-19.2031
0.97726,-19.9743
0.983014,-19.6658
0.989041,-17.6607
0.993973,-14.8843
1.00027,-11.7995
